Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Spice Symphony - Midtown East,1,489.6959381065958,1,4.4,2,674,1.0,Chinese,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Le Botaniste,1,841.2940941033718,1,4.3,2,154,1.0,Vegan,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Judge Roy Bean Public House,1,1218.0172684196205,1,4.3,2,916,1.0,Pubs,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Rarities,1,813.1366537070554,1,5.0,4,2,1.0,Lounges,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Jeffrey Craft Beer & Bites,1,696.3485616754132,1,4.2,2,736,1.0,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Horny Ram,1,230.57628584414795,1,4.2,2,752,1.0,New American,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Izakaya Toribar,1,542.1005711224105,1,4.2,2,185,1.0,Tapas/Small Plates,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Shadmoor,1,378.3753337138564,1,4.2,3,449,1.0,Seafood,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Sofia Wine Bar,1,281.88262015060224,1,4.2,3,753,1.0,Italian,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Treadwell Park,1,810.0551432560762,1,4.1,2,608,1.0,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Aman New York,1,1143.3529696917442,1,5.0,4,7,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,San Carlos Hotel,1,489.6959381065958,1,4.5,3,66,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Hotel Elysée,1,809.695606011397,1,4.3,3,81,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Four Seasons Hotel,1,922.6033632340908,1,4.2,4,147,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Baccarat Hotel,1,1159.9114220481706,1,4.2,4,286,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Whitby Hotel,1,1168.34499281093,1,4.2,2,24,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,AKA Sutton Place,1,309.9155659714982,1,4.1,4,8,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,"The Bernic Hotel New York City, Tapestry Collection by Hilton",1,580.382597509065,1,4.1,3,101,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The St. Regis New York,1,1048.2436068286656,1,4.1,4,255,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Jewel Facing Rockefeller,1,1116.656203671986,1,4.0,2,145,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Residence Inn by Marriott New York Manhattan/Midtown East,1,577.1539299120176,1,4.0,2,79,1.0,Hotels,hotel
